Rhythm,P,RateP,P_QRS,PR,Rate,Class
irregular,abnormal,over_350,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,abnormal,over_350,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,between_100_250,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,between_60_100,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,under_60,A
irregular,abnormal,over_350,meaningless,meaningless,between_100_250,A
irregular,abnormal,over_350,meaningless,meaningless,between_60_100,A
irregular,abnormal,over_350,meaningless,meaningless,over_350,A
irregular,abnormal,over_350,meaningless,meaningless,under_60,A
irregular,abnormal,zero,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,abnormal,zero,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,abnormal,zero,independent_P_QRS,meaningless,between_100_250,A
irregular,abnormal,zero,independent_P_QRS,meaningless,between_60_100,A
irregular,abnormal,zero,independent_P_QRS,meaningless,under_60,A
irregular,abnormal,zero,meaningless,meaningless,between_100_250,A
irregular,abnormal,zero,meaningless,meaningless,between_60_100,A
irregular,abnormal,zero,meaningless,meaningless,over_350,A
irregular,abnormal,zero,meaningless,meaningless,under_60,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,under_60,A
irregular,absent,over_350,independent_P_QRS,meaningless,between_100_250,A
irregular,absent,over_350,independent_P_QRS,meaningless,between_60_100,A
irregular,absent,over_350,independent_P_QRS,meaningless,under_60,A
irregular,absent,over_350,meaningless,meaningless,between_100_250,A
irregular,absent,over_350,meaningless,meaningless,between_60_100,A
irregular,absent,over_350,meaningless,meaningless,over_350,A
irregular,absent,over_350,meaningless,meaningless,under_60,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,under_60,A
irregular,absent,zero,independent_P_QRS,meaningless,between_100_250,A
irregular,absent,zero,independent_P_QRS,meaningless,between_60_100,A
irregular,absent,zero,independent_P_QRS,meaningless,under_60,A
irregular,absent,zero,meaningless,meaningless,between_100_250,A
irregular,absent,zero,meaningless,meaningless,between_60_100,A
irregular,absent,zero,meaningless,meaningless,over_350,A
irregular,absent,zero,meaningless,meaningless,under_60,A
irregular,normal,between_60_100,after_P_some_QRS_miss,prolonged,between_60_100,N
regular,abnormal,over_350,independent_P_QRS,meaningless,between_100_250,A
regular,abnormal,over_350,independent_P_QRS,meaningless,between_60_100,A
regular,abnormal,over_350,independent_P_QRS,meaningless,under_60,A
regular,abnormal,zero,independent_P_QRS,meaningless,between_100_250,A
regular,abnormal,zero,independent_P_QRS,meaningless,between_60_100,A
regular,abnormal,zero,independent_P_QRS,meaningless,under_60,A
regular,absent,over_350,independent_P_QRS,meaningless,between_100_250,A
regular,absent,over_350,independent_P_QRS,meaningless,between_60_100,A
regular,absent,over_350,independent_P_QRS,meaningless,under_60,A
regular,absent,zero,independent_P_QRS,meaningless,between_100_250,A
regular,absent,zero,independent_P_QRS,meaningless,between_60_100,A
regular,absent,zero,independent_P_QRS,meaningless,under_60,A
regular,normal,between_60_100,after_P_always_QRS,normal,between_60_100,N
regular,normal,between_60_100,after_P_always_QRS,prolonged,between_60_100,N
regular,normal,between_60_100,after_P_always_QRS,shortened,between_60_100,N
regular,normal,between_60_100,after_P_some_QRS_miss,normal,between_60_100,N
regular,normal,between_60_100,independent_P_QRS,meaningless,between_100_250,N
regular,normal,between_60_100,independent_P_QRS,meaningless,between_60_100,N
regular,normal,between_60_100,independent_P_QRS,meaningless,under_60,N
