Rhythm,P,RateP,P_QRS,PR,Rate,Class
irregular,abnormal,between_100_250,after_P_some_QRS_miss,prolonged,between_100_250,O
irregular,abnormal,between_100_250,after_P_some_QRS_miss,prolonged,between_60_100,O
irregular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,between_100_250,O
irregular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,between_60_100,O
irregular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,under_60,O
irregular,abnormal,over_350,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,abnormal,over_350,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,abnormal,over_350,after_P_some_QRS_miss,meaningless,under_60,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,between_100_250,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,between_60_100,A
irregular,abnormal,over_350,independent_P_QRS,meaningless,under_60,A
irregular,abnormal,over_350,meaningless,meaningless,between_100_250,A
irregular,abnormal,over_350,meaningless,meaningless,between_60_100,A
irregular,abnormal,over_350,meaningless,meaningless,over_350,A
irregular,abnormal,over_350,meaningless,meaningless,under_60,A
irregular,abnormal,zero,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,abnormal,zero,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,abnormal,zero,after_P_some_QRS_miss,meaningless,under_60,A
irregular,abnormal,zero,independent_P_QRS,meaningless,between_100_250,A
irregular,abnormal,zero,independent_P_QRS,meaningless,between_60_100,A
irregular,abnormal,zero,independent_P_QRS,meaningless,under_60,A
irregular,abnormal,zero,meaningless,meaningless,between_100_250,A
irregular,abnormal,zero,meaningless,meaningless,between_60_100,A
irregular,abnormal,zero,meaningless,meaningless,over_350,A
irregular,abnormal,zero,meaningless,meaningless,under_60,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,absent,over_350,after_P_some_QRS_miss,meaningless,under_60,A
irregular,absent,over_350,independent_P_QRS,meaningless,between_100_250,A
irregular,absent,over_350,independent_P_QRS,meaningless,between_60_100,A
irregular,absent,over_350,independent_P_QRS,meaningless,under_60,A
irregular,absent,over_350,meaningless,meaningless,between_100_250,A
irregular,absent,over_350,meaningless,meaningless,between_60_100,A
irregular,absent,over_350,meaningless,meaningless,over_350,A
irregular,absent,over_350,meaningless,meaningless,under_60,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,between_100_250,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,between_60_100,A
irregular,absent,zero,after_P_some_QRS_miss,meaningless,under_60,A
irregular,absent,zero,independent_P_QRS,meaningless,between_100_250,A
irregular,absent,zero,independent_P_QRS,meaningless,between_60_100,A
irregular,absent,zero,independent_P_QRS,meaningless,under_60,A
irregular,absent,zero,meaningless,meaningless,between_100_250,A
irregular,absent,zero,meaningless,meaningless,between_60_100,A
irregular,absent,zero,meaningless,meaningless,over_350,A
irregular,absent,zero,meaningless,meaningless,under_60,A
irregular,changing,between_100_250,after_P_always_QRS,changing,between_100_250,O
irregular,changing,between_100_250,after_P_always_QRS,normal,between_100_250,O
irregular,changing,between_100_250,after_P_always_QRS,prolonged,between_100_250,O
irregular,changing,between_100_250,after_P_always_QRS,shortened,between_100_250,O
irregular,changing,between_100_250,after_P_some_QRS_miss,normal,between_100_250,O
irregular,changing,between_100_250,after_P_some_QRS_miss,normal,between_60_100,O
irregular,changing,between_100_250,after_P_some_QRS_miss,prolonged,between_100_250,O
irregular,changing,between_100_250,after_P_some_QRS_miss,prolonged,between_60_100,O
irregular,changing,between_60_100,after_P_always_QRS,changing,between_60_100,O
irregular,changing,between_60_100,after_P_always_QRS,normal,between_60_100,O
irregular,changing,between_60_100,after_P_always_QRS,prolonged,between_60_100,O
irregular,changing,between_60_100,after_P_always_QRS,shortened,between_60_100,O
irregular,changing,between_60_100,after_P_some_QRS_miss,normal,between_60_100,O
irregular,changing,between_60_100,after_P_some_QRS_miss,normal,under_60,O
irregular,changing,between_60_100,after_P_some_QRS_miss,prolonged,between_60_100,O
irregular,changing,between_60_100,after_P_some_QRS_miss,prolonged,under_60,O
irregular,normal,between_100_250,after_P_some_QRS_miss,prolonged,between_100_250,O
irregular,normal,between_100_250,after_P_some_QRS_miss,prolonged,between_60_100,O
irregular,normal,between_60_100,after_P_always_QRS,normal,between_60_100,O
irregular,normal,between_60_100,after_P_always_QRS,normal,under_60,O
irregular,normal,between_60_100,after_P_always_QRS,prolonged,between_60_100,O
irregular,normal,between_60_100,after_P_always_QRS,prolonged,under_60,O
irregular,normal,between_60_100,after_P_always_QRS,shortened,between_60_100,O
irregular,normal,between_60_100,after_P_always_QRS,shortened,under_60,O
irregular,normal,between_60_100,after_P_some_QRS_miss,normal,between_60_100,O
irregular,normal,between_60_100,after_P_some_QRS_miss,normal,under_60,O
irregular,normal,between_60_100,after_P_some_QRS_miss,prolonged,between_60_100,N
irregular,normal,between_60_100,after_P_some_QRS_miss,prolonged,under_60,N
irregular,normal,under_60,after_P_always_QRS,normal,between_60_100,O
irregular,normal,under_60,after_P_always_QRS,normal,under_60,O
irregular,normal,under_60,after_P_always_QRS,prolonged,between_60_100,O
irregular,normal,under_60,after_P_always_QRS,prolonged,under_60,O
irregular,normal,under_60,after_P_always_QRS,shortened,between_60_100,O
irregular,normal,under_60,after_P_always_QRS,shortened,under_60,O
irregular,normal,under_60,after_P_some_QRS_miss,normal,between_60_100,O
irregular,normal,under_60,after_P_some_QRS_miss,normal,under_60,O
irregular,normal,under_60,after_P_some_QRS_miss,prolonged,between_60_100,O
irregular,normal,under_60,after_P_some_QRS_miss,prolonged,under_60,O
regular,abnormal,between_100_250,after_P_always_QRS,after_QRS_is_P,between_100_250,O
regular,abnormal,between_100_250,after_P_always_QRS,meaningless,between_100_250,O
regular,abnormal,between_100_250,after_P_always_QRS,normal,between_100_250,O
regular,abnormal,between_100_250,after_P_always_QRS,prolonged,between_100_250,O
regular,abnormal,between_100_250,after_P_always_QRS,shortened,between_100_250,O
regular,abnormal,between_100_250,after_P_some_QRS_miss,normal,between_100_250,O
regular,abnormal,between_100_250,after_P_some_QRS_miss,normal,between_60_100,O
regular,abnormal,between_100_250,independent_P_QRS,meaningless,between_100_250,O
regular,abnormal,between_100_250,independent_P_QRS,meaningless,between_60_100,O
regular,abnormal,between_100_250,independent_P_QRS,meaningless,under_60,O
regular,abnormal,between_100_250,meaningless,after_QRS_is_P,between_100_250,O
regular,abnormal,between_100_250,meaningless,meaningless,between_100_250,O
regular,abnormal,between_100_250,meaningless,shortened,between_100_250,O
regular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,between_100_250,O
regular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,between_60_100,O
regular,abnormal,between_250_350,after_P_some_QRS_miss,meaningless,under_60,O
regular,abnormal,between_250_350,independent_P_QRS,meaningless,between_100_250,O
regular,abnormal,between_250_350,independent_P_QRS,meaningless,between_60_100,O
regular,abnormal,between_250_350,independent_P_QRS,meaningless,under_60,O
regular,abnormal,between_250_350,meaningless,meaningless,between_250_350,O
regular,abnormal,between_60_100,after_P_always_QRS,after_QRS_is_P,between_60_100,O
regular,abnormal,between_60_100,after_P_always_QRS,meaningless,between_60_100,O
regular,abnormal,between_60_100,after_P_always_QRS,shortened,between_60_100,O
regular,abnormal,between_60_100,meaningless,after_QRS_is_P,between_60_100,O
regular,abnormal,between_60_100,meaningless,meaningless,between_60_100,O
regular,abnormal,between_60_100,meaningless,shortened,between_60_100,O
regular,abnormal,over_350,independent_P_QRS,meaningless,between_100_250,A
regular,abnormal,over_350,independent_P_QRS,meaningless,between_60_100,A
regular,abnormal,over_350,independent_P_QRS,meaningless,under_60,A
regular,abnormal,under_60,after_P_always_QRS,after_QRS_is_P,under_60,O
regular,abnormal,under_60,after_P_always_QRS,meaningless,under_60,O
regular,abnormal,under_60,after_P_always_QRS,shortened,under_60,O
regular,abnormal,under_60,meaningless,after_QRS_is_P,under_60,O
regular,abnormal,under_60,meaningless,meaningless,under_60,O
regular,abnormal,under_60,meaningless,shortened,under_60,O
regular,abnormal,zero,after_P_always_QRS,after_QRS_is_P,between_100_250,O
regular,abnormal,zero,after_P_always_QRS,after_QRS_is_P,between_60_100,O
regular,abnormal,zero,after_P_always_QRS,after_QRS_is_P,under_60,O
regular,abnormal,zero,after_P_always_QRS,meaningless,between_100_250,O
regular,abnormal,zero,after_P_always_QRS,meaningless,between_60_100,O
regular,abnormal,zero,after_P_always_QRS,meaningless,under_60,O
regular,abnormal,zero,after_P_always_QRS,shortened,between_100_250,O
regular,abnormal,zero,after_P_always_QRS,shortened,between_60_100,O
regular,abnormal,zero,after_P_always_QRS,shortened,under_60,O
regular,abnormal,zero,independent_P_QRS,meaningless,between_100_250,A
regular,abnormal,zero,independent_P_QRS,meaningless,between_60_100,A
regular,abnormal,zero,independent_P_QRS,meaningless,under_60,A
regular,abnormal,zero,meaningless,after_QRS_is_P,between_100_250,O
regular,abnormal,zero,meaningless,after_QRS_is_P,between_60_100,O
regular,abnormal,zero,meaningless,after_QRS_is_P,under_60,O
regular,abnormal,zero,meaningless,meaningless,between_100_250,O
regular,abnormal,zero,meaningless,meaningless,between_60_100,O
regular,abnormal,zero,meaningless,meaningless,under_60,O
regular,abnormal,zero,meaningless,shortened,between_100_250,O
regular,abnormal,zero,meaningless,shortened,between_60_100,O
regular,abnormal,zero,meaningless,shortened,under_60,O
regular,absent,between_100_250,after_P_always_QRS,after_QRS_is_P,between_100_250,O
regular,absent,between_100_250,after_P_always_QRS,meaningless,between_100_250,O
regular,absent,between_100_250,after_P_always_QRS,shortened,between_100_250,O
regular,absent,between_100_250,meaningless,after_QRS_is_P,between_100_250,O
regular,absent,between_100_250,meaningless,meaningless,between_100_250,O
regular,absent,between_100_250,meaningless,shortened,between_100_250,O
regular,absent,between_60_100,after_P_always_QRS,after_QRS_is_P,between_60_100,O
regular,absent,between_60_100,after_P_always_QRS,meaningless,between_60_100,O
regular,absent,between_60_100,after_P_always_QRS,shortened,between_60_100,O
regular,absent,between_60_100,meaningless,after_QRS_is_P,between_60_100,O
regular,absent,between_60_100,meaningless,meaningless,between_60_100,O
regular,absent,between_60_100,meaningless,shortened,between_60_100,O
regular,absent,over_350,independent_P_QRS,meaningless,between_100_250,A
regular,absent,over_350,independent_P_QRS,meaningless,between_60_100,A
regular,absent,over_350,independent_P_QRS,meaningless,under_60,A
regular,absent,under_60,after_P_always_QRS,after_QRS_is_P,under_60,O
regular,absent,under_60,after_P_always_QRS,meaningless,under_60,O
regular,absent,under_60,after_P_always_QRS,shortened,under_60,O
regular,absent,under_60,meaningless,after_QRS_is_P,under_60,O
regular,absent,under_60,meaningless,meaningless,under_60,O
regular,absent,under_60,meaningless,shortened,under_60,O
regular,absent,zero,after_P_always_QRS,after_QRS_is_P,between_100_250,O
regular,absent,zero,after_P_always_QRS,after_QRS_is_P,between_60_100,O
regular,absent,zero,after_P_always_QRS,after_QRS_is_P,under_60,O
regular,absent,zero,after_P_always_QRS,meaningless,between_100_250,O
regular,absent,zero,after_P_always_QRS,meaningless,between_60_100,O
regular,absent,zero,after_P_always_QRS,meaningless,under_60,O
regular,absent,zero,after_P_always_QRS,shortened,between_100_250,O
regular,absent,zero,after_P_always_QRS,shortened,between_60_100,O
regular,absent,zero,after_P_always_QRS,shortened,under_60,O
regular,absent,zero,independent_P_QRS,meaningless,between_100_250,A
regular,absent,zero,independent_P_QRS,meaningless,between_60_100,A
regular,absent,zero,independent_P_QRS,meaningless,under_60,A
regular,absent,zero,meaningless,after_QRS_is_P,between_100_250,O
regular,absent,zero,meaningless,after_QRS_is_P,between_60_100,O
regular,absent,zero,meaningless,after_QRS_is_P,under_60,O
regular,absent,zero,meaningless,meaningless,between_100_250,O
regular,absent,zero,meaningless,meaningless,between_250_350,O
regular,absent,zero,meaningless,meaningless,between_60_100,O
regular,absent,zero,meaningless,meaningless,under_60,O
regular,absent,zero,meaningless,shortened,between_100_250,O
regular,absent,zero,meaningless,shortened,between_60_100,O
regular,absent,zero,meaningless,shortened,under_60,O
regular,changing,between_100_250,independent_P_QRS,meaningless,between_100_250,O
regular,changing,between_100_250,independent_P_QRS,meaningless,between_60_100,O
regular,changing,between_100_250,independent_P_QRS,meaningless,under_60,O
regular,changing,between_60_100,independent_P_QRS,meaningless,between_100_250,O
regular,changing,between_60_100,independent_P_QRS,meaningless,between_60_100,O
regular,changing,between_60_100,independent_P_QRS,meaningless,under_60,O
regular,normal,between_100_250,after_P_always_QRS,normal,between_100_250,O
regular,normal,between_100_250,after_P_always_QRS,prolonged,between_100_250,O
regular,normal,between_100_250,after_P_always_QRS,shortened,between_100_250,O
regular,normal,between_100_250,after_P_some_QRS_miss,normal,between_100_250,O
regular,normal,between_100_250,after_P_some_QRS_miss,normal,between_60_100,O
regular,normal,between_100_250,independent_P_QRS,meaningless,between_100_250,O
regular,normal,between_100_250,independent_P_QRS,meaningless,between_60_100,O
regular,normal,between_100_250,independent_P_QRS,meaningless,under_60,O
regular,normal,between_60_100,after_P_always_QRS,normal,between_60_100,N
regular,normal,between_60_100,after_P_always_QRS,prolonged,between_60_100,N
regular,normal,between_60_100,after_P_always_QRS,shortened,between_60_100,N
regular,normal,between_60_100,after_P_some_QRS_miss,normal,between_60_100,N
regular,normal,between_60_100,after_P_some_QRS_miss,normal,under_60,N
regular,normal,between_60_100,independent_P_QRS,meaningless,between_100_250,N
regular,normal,between_60_100,independent_P_QRS,meaningless,between_60_100,N
regular,normal,between_60_100,independent_P_QRS,meaningless,under_60,N
regular,normal,under_60,after_P_always_QRS,normal,under_60,O
regular,normal,under_60,after_P_always_QRS,prolonged,under_60,O
regular,normal,under_60,after_P_always_QRS,shortened,under_60,O
regular,normal,under_60,after_P_some_QRS_miss,normal,under_60,O
regular,normal,under_60,independent_P_QRS,meaningless,between_100_250,O
regular,normal,under_60,independent_P_QRS,meaningless,between_60_100,O
regular,normal,under_60,independent_P_QRS,meaningless,under_60,O
